nodes,g1h3,g1f3,b1c3,b1a3,h2h3,g2g3,f2f3,e2e3,d2d3,c2c3,b2b3,a2a3,h2h4,g2g4,f2f4,e2e4,d2d4,c2c4,b2b4,a2a4
96147369,-55,17,9,-64,-10,20,-72,8,-5,8,-8,-1,-41,-135,-23,20,24,18,-26,-10
96990529,-55,17,9,-70,-10,20,-72,8,-5,8,-8,-1,-41,-135,-23,20,24,18,-26,-10
98289555,-55,17,9,-70,-10,20,-69,8,-5,8,-8,-1,-41,-135,-23,20,24,18,-26,-10
99706785,-55,17,9,-70,-10,20,-69,8,-5,8,-8,-1,-41,-144,-23,20,24,18,-26,-10
101930722,-55,17,9,-70,-10,20,-69,8,-5,8,-8,-1,-41,-144,-23,20,18,18,-26,-10
102104236,-55,17,9,-70,-10,18,-69,8,-5,8,-8,-1,-41,-144,-23,18,18,18,-26,-10
104371127,-55,17,9,-70,-10,21,-69,8,-5,8,-8,-1,-41,-144,-23,18,18,18,-26,-10
105054882,-55,17,9,-70,-10,21,-69,8,-5,8,-8,-1,-41,-144,-23,18,18,24,-26,-10
105288362,-55,27,9,-70,-10,21,-69,8,-5,8,-8,-1,-41,-144,-23,18,18,24,-26,-10
106485243,-55,27,8,-70,-10,21,-69,8,-5,11,-8,-1,-41,-144,-23,18,18,24,-26,-10
106899952,-55,27,13,-70,-10,21,-69,8,-5,11,-8,-1,-41,-144,-23,18,18,24,-26,-10
107319133,-55,27,13,-70,-10,21,-69,8,-5,11,-8,-1,-41,-144,-23,18,18,24,-26,-10
109503759,-55,27,13,-70,-10,21,-69,8,-4,11,-8,-5,-41,-144,-23,18,18,24,-26,-10
110015656,-55,27,13,-70,-10,21,-69,8,-4,11,-8,1,-41,-144,-23,18,18,24,-26,-10
111592789,-55,27,13,-70,-10,21,-69,8,-4,11,-6,1,-41,-144,-23,18,18,24,-26,-10
112637104,-55,27,13,-70,-13,21,-69,8,-4,11,-6,1,-41,-144,-23,18,18,24,-26,-11
114077986,-55,27,13,-70,-13,21,-69,8,-4,11,-6,1,-41,-144,-23,18,18,24,-26,-11
115142120,-55,27,13,-70,-13,21,-69,8,-4,11,-6,1,-41,-144,-26,18,18,24,-26,-11
115424919,-55,27,13,-70,-13,21,-69,8,-4,11,-6,1,-41,-144,-26,18,18,24,-20,-11
116627026,-55,27,13,-70,-13,21,-69,8,-4,11,-6,1,-38,-144,-26,18,18,24,-20,-11
117837190,-46,27,13,-70,-13,21,-69,8,-4,11,-6,1,-38,-144,-26,18,18,24,-20,-11
119027685,-46,27,13,-60,-13,21,-69,8,-4,11,-6,1,-38,-144,-26,18,18,24,-20,-11
119937845,-46,27,13,-60,-13,21,-74,8,-4,11,-6,1,-38,-144,-26,18,18,24,-20,-11
120551533,-46,27,13,-60,-13,21,-74,8,-4,11,-6,1,-38,-144,-26,18,18,24,-20,-11
121887730,-46,31,13,-60,-13,21,-74,8,-4,11,-6,1,-38,-144,-26,18,18,24,-20,-11
124894414,-46,31,13,-60,-13,21,-74,8,-4,11,-6,1,-38,-144,-26,18,18,21,-20,-11
125351652,-46,31,13,-60,-13,20,-74,8,-4,11,-6,1,-38,-144,-26,18,18,21,-20,-11
125807104,-46,31,13,-60,-13,20,-74,8,-4,11,-6,1,-38,-144,-26,18,22,21,-20,-11
126238080,-46,31,13,-60,-13,20,-74,8,-4,11,-6,1,-38,-144,-26,18,22,21,-20,-11
128217087,-46,31,13,-60,-13,20,-74,8,-4,11,-6,1,-38,-144,-26,18,22,21,-20,-11
128787152,-46,31,13,-60,-13,20,-74,8,-4,9,-6,1,-38,-144,-26,18,22,21,-20,-11
129481952,-46,31,13,-60,-13,20,-74,9,-4,9,-6,1,-38,-144,-26,18,22,21,-20,-11
130603510,-46,31,13,-60,-13,20,-74,9,-4,9,-6,6,-38,-144,-26,18,22,21,-20,-11
131440028,-46,31,13,-60,-13,20,-74,9,-4,9,-6,6,-38,-144,-26,18,22,21,-20,-11
131627111,-46,31,13,-60,-13,20,-74,9,-4,9,-6,6,-38,-144,-26,18,22,21,-20,-11
133307850,-46,31,13,-60,-6,20,-74,9,-4,9,-6,6,-38,-144,-26,18,22,21,-20,-11
133810814,-46,31,13,-60,-6,20,-74,9,-4,9,-6,6,-38,-144,-26,18,22,21,-20,-9
